Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,LCSC Part Number #
Capacitor SMD 1uF,"C1, C2, C15, C30",0603,4,Samsung Electro-Mechanics,CL10B105KA8NNNC,C29936
Capacitor SMD 4u7,"C3, C13",0603,2,Samsung Electro-Mechanics,CL10A475KA8NQNC,C69335
Capacitor SMD 10u,"C4, C5, C11",0805,3,Samsung Electro-Mechanics,CL21B106KOQNNNE,C95841
Capacitor SMD 100n,"C6, C7, C8, C9, C10, C12, C14, C18, C19, C20, C21, C24, C25, C26, C27, C28, C33",0603,17,Samsung Electro-Mechanics,CL10B104KB8NNNC,C1591
Capacitor SMD 9p,"C16, C17",0603,2,TDK,CGA3E2C0G1H090DT0Y0N,C695382
Capacitor SMD 390p,"C22, C23, C29, C32",0603,4,muRata,GRM1885C1H391JA01D,C701309
Capacitor SMD 820p,C31,0603,1,TDK,CGA3E2C0G1H821JT0Y0N,C694499
LED 0603 RED SMD,D1,0603,1,XINGLIGHT,XL-1608SURC-06,C965799
Low-Capacitance ESD Protection USB,D2,SOT-23-6L,1,ST,USBLC6-2SC6,C7519
RGB LED Common Anode SMD Diffused 0805 Top View,D3,0805,1,XINGLIGHT,XL-2012RGBC,C965848
Ferrite Bead SMD 120R,"FB1, FB2",0603,2,muRata,BLM18PG121SN1D,C14709
USB Connector Type C,J1,SMT 16 Pin,1,SHOU HAN,TYPE-C 16PIN 2MD(073),C2765186
Resistor SMD 1K,"R1, R2, R3, R4",0603,4,YAGEO,RC0603FR-071KL,C22548
Resistor SMD 5K1,"R5, R6, R7, R10, R11, R21, R22, R24, R25, R26",0603,10,YAGEO,RC0603FR-075K1L,C105580
Resistor SMD 49R9,"R8, R12, R14, R15, R17, R18",0603,6,YAGEO,RC0603FR-0749R9L,C114625
Resistor SMD 47K,"R9, R16, R20, R27",0603,4,YAGEO,RC0603FR-0747KL,C105579
Resistor SMD 33R,"R13, R19, R23, R28",0603,4,YAGEO,RC0603FR-0733RL,C108661
"Tactile Switches Tact Switch, 12 VDC, 50 mA, 4.2x3.2, 2.5mm H, 180gf, J leadspp SPST","SW1, SW2","SMD-4P,4.2x3.2mm",2,G-Switch,GT-TC048D-H025-L1,C843674
500mA +3.3V Low-Noise LDO Voltage Regulator,U1,SOT-23-5,1,MaxLinear,SPX3819M5-L-3-3/TR,C9055
"Ultra-low-power with FPU Arm Cortex-M33 MCU with TrustZone, 160 MHz with 2 Mbytes of Flash memory",U2,LQFP-64(10x10),1,STMicroelectronics,STM32U595RIT6,C28247611
IC OPAMP GP 2 CIRCUIT 8SOIC,"U3, U4",SOIC-8,2,Texas Instruments,OPA2365AIDR,C130011
IC CMOS 2 CIRCUIT 8VSSOP,U5,VSSOP-8,1,Texas Instruments,TLV9062IDGKR,C398356
Crystal SMD 16MHz 10PPM 9pF 3225,X1,SMD3225-4P,1,TST,TZ0233A,C498200
