"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"X1","16MHz","Top","XTAL_3225","36.5000","21.1000","180","Crystal SMD 16MHz 10PPM 9pF 3225"
"U5","TLV9062IDGKR","Top","FP-DGK0008A-IPC_A","55.9000","24.4000","270","IC CMOS 2 CIRCUIT 8VSSOP"
"U4","OPA2365AIDR","Top","FP-D0008A-MFG","49.2000","12.3000","0","IC OPAMP GP 2 CIRCUIT 8SOIC"
"U3","OPA2365AIDR","Top","FP-D0008A-MFG","39.7500","12.3000","0","IC OPAMP GP 2 CIRCUIT 8SOIC"
"U2","STM32U595RIT6","Top","LQFP64-10x10mm_STM","40.0000","31.5000","90","Ultra-low-power with FPU Arm Cortex-M33 MCU with TrustZone, 160 MHz with 2 Mbytes of Flash memory"
"U1","SPX3819M5-L-3-3/TR","Top","SOT-23-5","19.8000","43.7750","180","500mA +3.3V Low-Noise LDO Voltage Regulator"
"SW2","RST","Top","PTS815","11.2500","5.0000","90","Tactile Switches Tact Switch, 12 VDC, 50 mA, 4.2x3.2, 2.5mm H, 180gf, J leadspp SPST"
"SW1","BOOT","Top","PTS815","15.7500","5.0000","90","Tactile Switches Tact Switch, 12 VDC, 50 mA, 4.2x3.2, 2.5mm H, 180gf, J leadspp SPST"
"R28","33R","Top","RES_0603","50.0000","16.5000","90","Resistor SMD 0603"
"R27","47K","Top","RES_0603","51.0000","8.7500","0","Resistor SMD 0603"
"R26","5K1","Top","RES_0603","53.2000","24.3000","270","Resistor SMD 0603"
"R25","5K1","Top","RES_0603","58.2000","33.1000","270","Resistor SMD 0603"
"R24","5K1","Top","RES_0603","53.5000","32.2500","270","Resistor SMD 0603"
"R23","33R","Top","RES_0603","48.5000","16.5000","90","Resistor SMD 0603"
"R22","5K1","Top","RES_0603","55.8000","9.5000","270","Resistor SMD 0603"
"R21","5K1","Top","RES_0603","56.5000","7.5000","0","Resistor SMD 0603"
"R20","47K","Top","RES_0603","47.5000","8.7500","180","Resistor SMD 0603"
"R19","33R","Top","RES_0603","40.5000","16.5000","90","Resistor SMD 0603"
"R18","49R9","Top","RES_0603","46.0000","40.2500","0","Resistor SMD 0603"
"R17","49R9","Top","RES_0603","46.0000","42.2500","0","Resistor SMD 0603"
"R16","47K","Top","RES_0603","41.5000","8.7500","0","Resistor SMD 0603"
"R15","49R9","Top","RES_0603","10.0000","23.7500","0","Resistor SMD 0603"
"R14","49R9","Top","RES_0603","10.0000","26.2500","0","Resistor SMD 0603"
"R13","33R","Top","RES_0603","39.0000","16.5000","90","Resistor SMD 0603"
"R12","49R9","Top","RES_0603","10.0000","28.7500","0","Resistor SMD 0603"
"R11","5K1","Top","RES_0603","33.2000","9.4500","270","Resistor SMD 0603"
"R10","5K1","Top","RES_0603","32.5000","7.5000","180","Resistor SMD 0603"
"R9","47K","Top","RES_0603","38.0000","8.7500","180","Resistor SMD 0603"
"R8","49R9","Top","RES_0603","10.0000","31.2500","0","Resistor SMD 0603"
"R7","5K1","Top","RES_0603","46.0000","50.2000","90","Resistor SMD 0603"
"R6","5K1","Top","RES_0603","34.0000","50.2500","90","Resistor SMD 0603"
"R5","5K1","Top","RES_0603","16.0000","10.5000","0","Resistor SMD 0603"
"R4","1K","Top","RES_0603","25.5000","25.5000","0","Resistor SMD 0603"
"R3","1K","Top","RES_0603","25.5000","27.5000","0","Resistor SMD 0603"
"R2","1K","Top","RES_0603","25.5000","29.5000","0","Resistor SMD 0603"
"R1","1K","Top","RES_0603","19.2500","49.0000","0","Resistor SMD 0603"
"J1","USB","Top","USB4105-GF-A-060","40.0000","50.9623","180","USB Connector Type C SMT 12 Pin"
"FB2","120R","Top","FB_0603","26.5000","7.5000","0","Ferrite Bead SMD 0603"
"FB1","120R","Top","FB_0603","31.7500","44.7500","180","Ferrite Bead SMD 0603"
"D3","150080M153000","Top","150080M153000","22.1250","27.5000","90","RGB LED Common Anode SMD Diffused 0805 Top View"
"D2","USBLC6-2SC6","Top","SOT-23-6","40.0000","43.6000","180","Low-Capacitance ESD Protection USB"
"D1","ON","Top","LED_0603_RED","22.5000","49.0000","180","LED 0603 RED SMD"
"C33","100n","Top","CAP_0603","50.0000","6.7500","270","Capacitor SMD 0603"
"C32","390p","Top","CAP_0603","51.0000","18.5000","0","Capacitor SMD 0603"
"C31","820p","Top","CAP_0603","52.4500","22.3000","0","Capacitor SMD 0603"
"C30","1u","Top","CAP_0603","55.9000","19.4000","90","Capacitor SMD 0603"
"C29","390p","Top","CAP_0603","47.5000","18.5000","0","Capacitor SMD 0603"
"C28","100n","Top","CAP_0603","58.5000","24.3500","270","Capacitor SMD 0603"
"C27","100n","Top","CAP_0603","48.5000","6.7500","270","Capacitor SMD 0603"
"C26","100n","Top","CAP_0603","53.5000","13.5000","90","Capacitor SMD 0603"
"C25","100n","Top","CAP_0603","54.3000","9.5000","270","Capacitor SMD 0603"
"C24","100n","Top","CAP_0603","40.5000","6.7500","270","Capacitor SMD 0603"
"C23","390p","Top","CAP_0603","41.5000","18.5000","0","Capacitor SMD 0603"
"C22","390p","Top","CAP_0603","38.0000","18.5000","0","Capacitor SMD 0603"
"C21","100n","Top","CAP_0603","39.0000","6.7500","270","Capacitor SMD 0603"
"C20","100n","Top","CAP_0603","44.0000","13.5000","90","Capacitor SMD 0603"
"C19","100n","Top","CAP_0603","34.6000","9.4500","270","Capacitor SMD 0603"
"C18","100n","Top","CAP_0603","11.0000","10.5000","180","Capacitor SMD 0603"
"C17","9p","Top","CAP_0603","35.9000","23.7000","0","Capacitor SMD 0603"
"C16","9p","Top","CAP_0603","38.5000","23.7000","180","Capacitor SMD 0603"
"C15","1u","Top","CAP_0603","42.0000","22.5000","0","Capacitor SMD 0603"
"C14","100n","Top","CAP_0603","42.0000","24.0000","0","Capacitor SMD 0603"
"C13","4u7","Top","CAP_0603","47.5000","32.7500","90","Capacitor SMD 0603"
"C12","100n","Top","CAP_0603","34.2000","25.2000","0","Capacitor SMD 0603"
"C11","10u","Top","CAP_0805","49.2500","35.6430","90","Capacitor SMD 0805"
"C10","100n","Top","CAP_0603","36.2500","39.0000","180","Capacitor SMD 0603"
"C9","100n","Top","CAP_0603","32.5000","28.0000","270","Capacitor SMD 0603"
"C8","100n","Top","CAP_0603","47.5000","35.5000","90","Capacitor SMD 0603"
"C7","100n","Top","CAP_0603","47.5000","28.5000","90","Capacitor SMD 0603"
"C6","100n","Top","CAP_0603","19.8000","46.2250","180","Capacitor SMD 0603"
"C5","10u","Top","CAP_0805","29.0000","8.6430","270","Capacitor SMD 0805"
"C4","10u","Top","CAP_0805","16.6000","43.9250","270","Capacitor SMD 0805"
"C3","4u7","Top","CAP_0603","22.7000","43.7250","270","Capacitor SMD 0603"
"C2","1u","Top","CAP_0603","29.7500","45.5000","270","Capacitor SMD 0603"
"C1","1u","Top","CAP_0603","33.7500","45.5000","270","Capacitor SMD 0603"
