Designator,Name,Description,Footprint,Quantity,Manufacturer,Manufacturer Part Number,LCSC Part Number #

"C1, C2, C15, C30","1u","1uF �10% 25V Ceramic Capacitor X7R 0603","CAP_0603","4","Samsung Electro-Mechanics","CL10B105KA8NNNC","C29936"
"C3, C13","4u7","4.7uF �10% 25V Ceramic Capacitor X5R 0603","CAP_0603","2","Samsung Electro-Mechanics","CL10A475KA8NQNC","C69335"
"C4, C5, C11","10u","10uF �10% 16V Ceramic Capacitor X7R 0805","CAP_0805","3","Samsung Electro-Mechanics","CL21B106KOQNNNE","C95841"
"C6, C7, C8, C9, C10, C12, C14, C18, C19, C20, C21, C24, C25, C26, C27, C28, C33","100n","100nF �10% 50V Ceramic Capacitor X7R 0603","CAP_0603","17","Samsung Electro-Mechanics","CL10B104KB8NNNC","C1591"
"C16, C17","8p","8pF 50V Ceramic Capacitor NP0 0603","CAP_0603","2","YAGEO","CC0603CRNPO9BN8R0","C327316"
"C22, C23, C29, C32","390p","390pF �5% 50V Ceramic Capacitor C0G 0603","CAP_0603","4","muRata","GRM1885C1H391JA01D","C701309"
"C31","3n3","3.3nF �10% 50V Ceramic Capacitor X7R 0603","CAP_0603","1","Samsung Electro-Mechanics","CL10B332KB8NNNC","C1613"
"D1","ON","Red 625nm LED Indication - Discrete 2.3V 0603","LED_0603_RED","1","XINGLIGHT","XL-1608SURC-06","C965799"
"D2","USBLC6-2SC6","Low-Capacitance ESD Protection USB","SOT-23-6","1","STMicroelectronics","USBLC6-2SC6","C7519"
"D3","150080M153000","Water Clear SMD-4P,2x1.2mm LED Indication - Discrete RoHS","150080M153000","1","XINGLIGHT","XL-2012RGBC","C965848"
"FB1, FB2","120R","120O@100MHz 1 Line Ferrite Bead 0603 2A 50mO","FB_0603","2","muRata","BLM18PG121SN1D","C14709"
"J1","USB","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle","USB4105-GF-A-060","1","SHOU HAN","TYPE-C 16PIN 2MD(073)","C2765186"
"R1, R2, R3, R4, R26","1K","100mW 1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS","RES_0603","5","YAGEO","RC0603FR-071KL","C22548"
"R5, R6, R7, R10, R11, R21, R22, R24, R25","5K1","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS","RES_0603","9","YAGEO","RC0603FR-075K1L","C105580"
"R8, R12, R13, R14, R15, R17, R18, R19, R23, R28","33R","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS","RES_0603","10","YAGEO","RC0603FR-0733RL","C108661"
"R9, R16, R20, R27","47K","100mW 47kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS","RES_0603","4","YAGEO","RC0603FR-0747KL","C105579"
"SW1, SW2","BOOT, RST","Tactile Switch SPST 400gf 2.5mm 4.2mm x 3.2mm Surface Mount","PTS815","2","G-Switch","GT-TC048D-H025-L1","C843674"
"U1","SPX3819M5-L-3-3/TR","500mA +3.3V Low-Noise LDO Voltage Regulator","SOT-23-5","1","MaxLinear","SPX3819M5-L-3-3/TR","C9055"
"U2","STM32U575RGT6","ARM Cortex-M33 32 Bit 160MHz 51 LQFP-64(10x10) Microcontrollers RoHS","LQFP64-10x10mm_STM","1","STMicroelectronics","STM32U575RGT6","C5270980"
"U3, U4","OPA2365AIDR","IC OPAMP GP 2 CIRCUIT 8SOIC","FP-D0008A-MFG","2","TI","OPA2365AIDR","C130011"
"U5","TLV9062IDGKR","IC CMOS 2 CIRCUIT 8VSSOP","FP-DGK0008A-IPC_A","1","TI","TLV9062IDGKR","C398356"
"X1","12MHz","Crystal 12MHz �15ppm 8pF 120O SMD3225-4P","XTAL_3225","1","DIODES","FL1200138","C526612"
