"Designator","Comment","Layer","Footprint","Mid-X","Mid-Y","Rotation","Description"
"C28","100n","TopLayer","CAP_0603","58.5000","24.3500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"X1","16MHz","TopLayer","XTAL_3225","36.5000","21.1000","180","Crystal 12MHz �15ppm 8pF 120O SMD3225-4P"
"U5","TLV9062IDGKR","TopLayer","FP-DGK0008A-IPC_A","55.9000","24.4000","270","IC CMOS 2 CIRCUIT 8VSSOP"
"U4","OPA2365AIDR","TopLayer","FP-D0008A-MFG","49.2000","12.3000","0","IC OPAMP GP 2 CIRCUIT 8SOIC"
"U3","OPA2365AIDR","TopLayer","FP-D0008A-MFG","39.7500","12.3000","0","IC OPAMP GP 2 CIRCUIT 8SOIC"
"U2","STM32U595RIT6","TopLayer","LQFP64-10x10mm_STM","40.0000","31.5000","90","Ultra-low-power with FPU Arm Cortex-M33 MCU with TrustZone, 160 MHz with 2 Mbytes of Flash memory"
"U1","SPX3819M5-L-3-3/TR","TopLayer","SOT-23-5","19.8000","43.7750","180","500mA +3.3V Low-Noise LDO Voltage Regulator"
"SW2","RST","TopLayer","PTS815","11.2500","5.0000","90","Tactile Switch SPST 400gf 2.5mm 4.2mm x 3.2mm Surface Mount"
"SW1","BOOT","TopLayer","PTS815","15.7500","5.0000","90","Tactile Switch SPST 400gf 2.5mm 4.2mm x 3.2mm Surface Mount"
"R28","33R","TopLayer","RES_0603","50.0000","16.5000","90","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R27","47K","TopLayer","RES_0603","51.0000","8.7500","0","100mW 47kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R26","5K1","TopLayer","RES_0603","53.2000","24.3000","270","Resistor SMD 0603"
"R25","5K1","TopLayer","RES_0603","58.2000","33.1000","270","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R24","5K1","TopLayer","RES_0603","53.5000","32.2500","270","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R23","33R","TopLayer","RES_0603","48.5000","16.5000","90","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R22","5K1","TopLayer","RES_0603","55.8000","9.5000","270","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R21","5K1","TopLayer","RES_0603","56.5000","7.5000","0","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R20","47K","TopLayer","RES_0603","47.5000","8.7500","180","100mW 47kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R19","33R","TopLayer","RES_0603","40.5000","16.5000","90","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R18","49R9","TopLayer","RES_0603","46.0000","40.2500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R17","49R9","TopLayer","RES_0603","46.0000","42.2500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R16","47K","TopLayer","RES_0603","41.5000","8.7500","0","100mW 47kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R15","49R9","TopLayer","RES_0603","10.0000","23.7500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R14","49R9","TopLayer","RES_0603","10.0000","26.2500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R13","33R","TopLayer","RES_0603","39.0000","16.5000","90","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R12","49R9","TopLayer","RES_0603","10.0000","28.7500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R11","5K1","TopLayer","RES_0603","33.2000","9.4500","270","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
